raw, buffer, Vout, R2
72, 536874432, 536870912, 1076523463
73, 536874432, 0, 1076497927
72, 536874432, 536870912, 1076523463
72, 536874432, 536870912, 1076523463
73, 536874432, 0, 1076497927
72, 536874432, 536870912, 1076523463
72, 536874432, 536870912, 1076523463
72, 536874432, 536870912, 1076523463
73, 536874432, 0, 1076497927
72, 536874432, 536870912, 1076523463
73, 536874432, 0, 1076497927
72, 536874432, 536870912, 1076523463
72, 536874432, 536870912, 1076523463
72, 536874432, 536870912, 1076523463
74, 536874432, 536870912, 1076473081
72, 536874432, 536870912, 1076523463
73, 536874432, 0, 1076497927
72, 536874432, 536870912, 1076523463
72, 536874432, 536870912, 1076523463
72, 536874432, 536870912, 1076523463
73, 536874432, 0, 1076497927
72, 536874432, 536870912, 1076523463
72, 536874432, 536870912, 1076523463
73, 536874432, 0, 1076497927
72, 536874432, 536870912, 1076523463
73, 536874432, 0, 1076497927
72, 536874432, 536870912, 1076523463
72, 536874432, 536870912, 1076523463
71, 536874432, -2147483648, 1076549718
73, 536874432, 0, 1076497927
72, 536874432, 536870912, 1076523463
72, 536874432, 536870912, 1076523463
73, 536874432, 0, 1076497927
72, 536874432, 536870912, 1076523463
71, 536874432, -2147483648, 1076549718
72, 536874432, 536870912, 1076523463
72, 536874432, 536870912, 1076523463
73, 536874432, 0, 1076497927
73, 536874432, 0, 1076497927
72, 536874432, 536870912, 1076523463
71, 536874432, -2147483648, 1076549718
72, 536874432, 536870912, 1076523463
72, 536874432, 536870912, 1076523463
72, 536874432, 536870912, 1076523463
72, 536874432, 536870912, 1076523463
72, 536874432, 536870912, 1076523463
73, 536874432, 0, 1076497927
72, 536874432, 536870912, 1076523463
72, 536874432, 536870912, 1076523463
72, 536874432, 536870912, 1076523463
72, 536874432, 536870912, 1076523463
73, 536874432, 0, 1076497927
72, 536874432, 536870912, 1076523463
72, 536874432, 536870912, 1076523463
73, 536874432, 0, 1076497927
73, 536874432, 0, 1076497927
72, 536874432, 536870912, 1076523463
72, 536874432, 536870912, 1076523463
72, 536874432, 536870912, 1076523463
72, 536874432, 536870912, 1076523463
72, 536874432, 536870912, 1076523463
72, 536874432, 536870912, 1076523463
72, 536874432, 536870912, 1076523463
72, 536874432, 536870912, 1076523463
72, 536874432, 536870912, 1076523463
72, 536874432, 536870912, 1076523463
72, 536874432, 536870912, 1076523463
71, 536874432, -2147483648, 1076549718
72, 536874432, 536870912, 1076523463
72, 536874432, 536870912, 1076523463
72, 536874432, 536870912, 1076523463
72, 536874432, 536870912, 1076523463
72, 536874432, 536870912, 1076523463
71, 536874432, -2147483648, 1076549718
73, 536874432, 0, 1076497927
73, 536874432, 0, 1076497927
73, 536874432, 0, 1076497927
72, 536874432, 536870912, 1076523463
73, 536874432, 0, 1076497927
72, 536874432, 536870912, 1076523463
72, 536874432, 536870912, 1076523463
73, 536874432, 0, 1076497927
72, 536874432, 536870912, 1076523463
73, 536874432, 0, 1076497927
72, 536874432, 536870912, 1076523463
73, 536874432, 0, 1076497927
72, 536874432, 536870912, 1076523463
72, 536874432, 536870912, 1076523463
73, 536874432, 0, 1076497927
72, 536874432, 536870912, 1076523463
72, 536874432, 536870912, 1076523463
73, 536874432, 0, 1076497927
72, 536874432, 536870912, 1076523463
71, 536874432, -2147483648, 1076549718
74, 536874432, 536870912, 1076473081
72, 536874432, 536870912, 1076523463
73, 536874432, 0, 1076497927
73, 536874432, 0, 1076497927
72, 536874432, 536870912, 1076523463
72, 536874432, 536870912, 1076523463
72, 536874432, 536870912, 1076523463
72, 536874432, 536870912, 1076523463
73, 536874432, 0, 1076497927
72, 536874432, 536870912, 1076523463
73, 536874432, 0, 1076497927
72, 536874432, 536870912, 1076523463
